s2_caption,image_uri
"FIG. 3. Variable pressure scanning electron microscope image of a transverse section of Quercus sp. (oak) waterlogged wood from a 17th century shipwreck in Salcombe Bay (Devon, UK) whose vessel sizes and shapes (along with parenchyma and fibres) have been severely distorted after rapid drying out following removal from the marine environment. Image: C. R. Cartwright, VC The Trustees of the British Museum.",20b025500baa8cec9d00bd7447c955963627733c_4-Figure3-1.png
Figure 1 Penile ultrasound 5 minutes after Xiaflex injection into the plaque showing increased echogenicity from micro-bubbles in the plaque in (A) transverse view and (B) longitudinal view.,7016e641247d9a79c9a38f232e5773a3b1691da5_2-Figure1-1.png
"FIGURE 8 | Close up side view of a single right-sided SM on a T1 sagittal plane (the left side is hidden behind the T1 sagittal plane) showing the stria arching over the inter-thalamic adhesion. Male, aged 40.",0025c7bdd8c55b49087f1a9ff68acf873f03a3aa_9-Figure8-1.png
"Figure 9. Thickening of the wall of the small intestine upstream of a mechanical occlusion due to an adhesion band with moderate ischaemia. The beak sign is clearly visible on the coronal reconstruction (a, double arrow), whereas symmetric, circumferential wall thickening, with double target enhancement can be seen both on the axial section (b) and on the coronal reconstruction (arrow). Surgery found moderate ischaemia of an upstream loop of the small intestine which was easily reversible by warming.",b0bb7fed1544541ee78468c8696b8044535c71a8_10-Figure9-1.png
Figure 1. Apical three chamber view showing contrast opacification during power pulse inversion imaging in akinetic segments (mid-distal septum and apex) (Panel A) These segments improved during dobutamine infusion (arrows) (Panel B).,a21d0dbbebd41c75efc189a63f2bc16ea00b915c_3-Figure1-1.png
Fig 5. The group voxel pattern relevant to each task for the real fMRI data. (a-d) PLSR (e-h) GLM.,00396110f9d431c187410b4169efac9bac50f201_10-Figure5-1.png
"Fig. 7. A 76-year-old woman (case 6) with foveal serous retinal detachment associated with inferior staphyloma. (A) Fundus photograph showed inferior staphyloma and inferior peripapillary crescent (arrow). (B) Fluorescein angiography revealed multiple pinpoint staining (arrowheads). (C) Baseline spectral-domain optical coherence tomography showed foveal serous retinal detachment. (D) Two bevacizumab injections reduced the amount of subretinal f luid (SRF), but SRF was still present. (E) SRF had increased 2 months later. (F) After one more bevacizumab injection, SRF decreased slightly, but remained. (G) The patient declined further injections. At the final visit, little SRF remained.",18a7736730143976794ca780e32960752c023ce6_6-Figure7-1.png
"Fig. 1 Amyloid beta and tau deposition in the 36-year-old monkey. Double staining for PHF tau (AT8, dark purple or black) and Aβ (brown) in brain slices from the 36-year-old monkey a. Pyramidal neurons were positive for AT8 (arrow, a). Higher magnification of a temporal lobe region, indicated by the large rectangle in a, is shown in b, again showing AT8-positive neurons in dark purple, and Aβ-positive deposits in brown. AT8 immunoreactivity (IR) was abundant in the globus pallidus (arrowhead in a) and in the white matter of the hippocampus (asterisk in a and d). In higher magnification images of the globus pallidus c, AT8 IR was found along fiber bundles (asterisk) and small round cells (arrowheads. See Fig. 4 for more details). Brown deposits are macrophages containing hemosiderin. Higher magnification of the hippocampal white matter (asterisk d and e) revealed AT8-positive oligodendroglia-like cells (arrowheads in e) and fibers (asterisks in e). The hippocampal white matter (asterisk, f) and pyramidal neurons (arrow, f) were also immunopositive with RD4 (dark purple staining in f) but not for RD3 (data not shown). Images (a–f) were captured using a virtual slide system VS120 (Olympus, Tokyo, Japan), equipped with “extended focus imaging”. Multiple images at different focal planes (17 planes with an interval of 0.5 μm) were fused into a single image. a–c, e: double staining for AT8 (dark purple) and Aβ (brown); d: Klüver-Barrera stain; f: RD4 immunostaining counter stained with nuclear fast red. Bars a:5 mm; b:200 μm, c:100 μm; d, f:1 mm, e:20 μm",9d8d9126f68a393a9105f637987c5892ad9db2d7_3-Figure1-1.png
Figure 3. Contrast CT imaging. The arrows indicate the metastatic liver lesion.,9cb192501eff2fcffdf6a6ee88d42d721d03e2a3_3-Figure3-1.png
"Figure 2. Regional volumetric differences in graymatter in theASD-positive group compared with the ASD-negative group. Coronal (A), sagittal (B), axial (C), and render (D) views showing regions of decreased gray matter (warm colors) in the ASD-positive group compared with the ASD-negative group. Volumetric differences are shown before (warm colors) and after adjustment for covariates (green colors). The crosshairs are in the left lateral occipital cortex. The color bars represent the t-score. Right = right.",c08fd7918f1263c08e981220f79a1818f3fad8f2_6-Figure2-1.png
Fig. 1 Brain magnetic resonance imaging (MRI) showed a high-density spot in the left hippocampus on diffusion-weighted imaging at the first admission,3dae20647dce37b414bb2f479cd31a82fdc16c2e_2-Figure1-1.png
"Figure 3. Imaging of the intestinal polyp via colonoscopy (A) and H&E staining (B). Magnification, x400.",8f117c622698f5623cd2ac3beea351121d0070c9_5-Figure3-1.png
Fig. 1. Ultrasonography images of the pelvic floor at rest (A) and during maximum contraction (B),03422da52a8c6933c84cb51d37ce6b3a647e5406_2-Figure1-1.png
"Figure 6 Late phase image showing isotope retention in both patellae, the 'hot patella', andjoint line 'tramline' uptake.",ad6a23519492a57b3a9a97ca71a6d9fbe9c7a2df_3-Figure6-1.png
Figure 2: MRI plate showing the lesion in the cervical spinal cord in two sections,82a631731d73d76247c05303299a6b4d08fd8329_2-Figure2-1.png
"FIGURE 3 | Results of the fMRI analysis on novelty. As we are interested in overlap between these distinct forms of novelty, all contrasts are presented on a single brain, with overlapping activity shown in different colors (see legend). All clusters are significant at p < 0.05 corrected for cluster extent (48 voxels) at t = 3.64 (corresponding to p < 0.001 uncorrected). All coordinates",ff7fb4d0e6e67e715a29cb3599cc43438ac5d398_4-Figure3-1.png
Figure 3. Radiology of a patient with simultaneous allergic bronchopulmonary aspergillosis (ABPA) and allergic fungal rhinosinusitis (AFRS). The patient presented with ABPA and was diagnosed as AFRS a year later when the patient manifested with upper respiratory tract symptoms. Noncontrast computed tomography (CT) of the paranasal sinuses showing soft tissue opacity within the right maxillary sinus (panel A). The soft tissue represents mucus impaction and the mucus is hyperattenuating (thin arrow). Mediastinal sections of the high resolution CT of the chest (panel B) showing hyperattenuating mucus impaction in the lateral segment of the right middle lobe (thick arrow).,be6e8a7a7535ccb90749a6a72fd5fa40729a668a_6-Figure3-1.png
"FIGURE 1 Human sperm treated with alkaline thiogycolate and followed by phase-contrast microscopy . Fig . 1 a shows an early stage of treatment . The sperm head membranes are relatively intact. Fig. 1 b, the head membranes have ruptured and the exposed nucleus begins to expand . A portion of the acrosomal cap is attached to the nucleus tip . Fig . 1 c, the nucleus becomes diffuse with the acrosomal cap still adhering to the tip. Fig . 1 d, the final stage of nuclear exposure showing the head cap expelled and the nucleus in an expanded state. Scale marker, 5 ,u. X 1900 .",3d200286e87a4fc17a142652bb71020dc40b9b82_2-Figure1-1.png
"Fig. 2 a Axial T1-weighted MR image showing retroperitoneal mass with hypointense relative to the liver, b hyperintense mass on axial T2weighted MR image, and c after contrast material injection poorly enhanced mass on enhanced axial T1-weighted MR image",ee483a6e290cef6029c497e7017d2d12bb5d70f9_2-Figure2-1.png
Figure 2. Bone scintigraphy is shown. The bone scan shows abnormally high,13f7db370afcebe25d74668bde01f21a1ca4534c_2-Figure2-1.png
"Fig. 7 Serial abdominal computed tomography findings. Two months postoperatively, liver metastases are demonstrated (a), which increased 6 months postoperatively (b). The liver metastases resolved after 2 months of restarting gemcitabine plus cisplatin (c), but it enlarged again 2 months later (d)",a4711d818c6dfa1839447e979a6650df137948b3_5-Figure7-1.png
Fig 2. Representative isodose curves of GTV for the BNCT alone (a) in axial and coronal views and BNCT+IMRT (b) plans in axial and coronal views for a recurrent parotid gland tumor.,d0af0d5ca51bb0c12de3da3b445af0d3fe05855a_7-Figure2-1.png
Figure 3. Intracardiac echocardiographic imaging pre- and post-Amplatze deployment.,074d4bd2a3af2487d677137504a98fe37689ad9d_4-Figure3-1.png
Figure 1. T1-weighted magnetic resonance images showing the region of interest location used for proton magnetic resonance spectroscopy of the mid-parietal gray matter.,6c027bd07bac3a4a8f926c920566efabcb11f3c7_3-Figure1-1.png
"Fig. 4 a– c HR-CTof the temporal bone, axial plane, left side. Normal fundus of the internal auditory canal (arrow). Clear demarcation of the basal turn of the cochlea and the vestibulum labyrinthi.",3943aaf8f3d2fd7be45cb02761145047d06fcb21_6-Figure4-1.png
"Fig. 4 Tumor segmentation steps for one of the tumors (patient ID BI01 from training set in our database) that is visible in the slice by using the method proposed in [78]. For the other tumor(s), the same algorithm was used a initial 18F-FDG PET and (liver segmentation: green), b 18F-FDG initial threshold and finding initial tumor burden (liver segmentation, green ; tumor cores, red), c finding specific background for each tumor (liver segmentation, green; tumor cores, red; background, blue), and d final tumor thresholding (liver segmentation, green; initial tumor volume which is not included in the final tumor segmentation, red; final tumor segmentation, blue)",5b9c9c92e28c208490606d4c1438abfe9d6565aa_8-Figure4-1.png
