s2_caption,image_uri,tokenized_caption
serial mris the initial set of mris showed t2 hyperintensity and some contrast enhancement in the bilateral internal capsules a b eight months later a second set of mris showed new enhancing lesions in the bilateral basal ganglia c d eleven months after initial presentation the right basal ganglia lesion appeared to grow whereas the lesion in the left basal ganglia diminished e f in the final set of mri 15 months after initial presentation the right basal ganglia lesion was unchanged not shown and a new enhancing mass appeared in the left middle cerebellar peduncle h c  contrast,1f1eb7d296de41f419d197007c0f35801a7f0049_2-Figure1-1.png,"['serial', 'mris', 'the', 'initial', 'set', 'of', 'mris', 'showed', 't2', 'hyperintensity', 'and', 'some', 'contrast', 'enhancement', 'in', 'the', 'bilateral', 'internal', 'capsules', 'a', 'b', 'eight', 'months', 'later', 'a', 'second', 'set', 'of', 'mris', 'showed', 'new', 'enhancing', 'lesions', 'in', 'the', 'bilateral', 'basal', 'ganglia', 'c', 'd', 'eleven', 'months', 'after', 'initial', 'presentation', 'the', 'right', 'basal', 'ganglia', 'lesion', 'appeared', 'to', 'grow', 'whereas', 'the', 'lesion', 'in', 'the', 'left', 'basal', 'ganglia', 'diminished', 'e', 'f', 'in', 'the', 'final', 'set', 'of', 'mri', '15', 'months', 'after', 'initial', 'presentation', 'the', 'right', 'basal', 'ganglia', 'lesion', 'was', 'unchanged', 'not', 'shown', 'and', 'a', 'new', 'enhancing', 'mass', 'appeared', 'in', 'the', 'left', 'middle', 'cerebellar', 'peduncle', 'h', 'c', 'contrast']"
postoperative imaging showing osteochondral allograft union into the hillsachs lesion,b94b915809726ef657a9c3488a598a26da2aa79a_8-Figure7-1.png,"['postoperative', 'imaging', 'showing', 'osteochondral', 'allograft', 'union', 'into', 'the', 'hillsachs', 'lesion']"
at 6 month followup periods midsagittal image and anterior 13 coronal computed tomography images of 19 of group i and 43 of group ii were assessed by the authors own method grade i is almost no bone formation grade ii is bone formation of less than 50 of grated zone grade iii is bone formation of more than 50 but incomplete continuity of bone mass and grade iv is diffuse and continuous bone formation,8c489243e45bf22d8f6b690ea7b1578aede18d78_3-Figure3-1.png,"['at', '6', 'month', 'followup', 'periods', 'midsagittal', 'image', 'and', 'anterior', '13', 'coronal', 'computed', 'tomography', 'images', 'of', '19', 'of', 'group', 'i', 'and', '43', 'of', 'group', 'ii', 'were', 'assessed', 'by', 'the', 'authors', 'own', 'method', 'grade', 'i', 'is', 'almost', 'no', 'bone', 'formation', 'grade', 'ii', 'is', 'bone', 'formation', 'of', 'less', 'than', '50', 'of', 'grated', 'zone', 'grade', 'iii', 'is', 'bone', 'formation', 'of', 'more', 'than', '50', 'but', 'incomplete', 'continuity', 'of', 'bone', 'mass', 'and', 'grade', 'iv', 'is', 'diffuse', 'and', 'continuous', 'bone', 'formation']"
a computed tomography angiography expressed by maximum intensive projection and b left subclavian venography showed a serpentine systemic venous channel draining from the left subclavian vein vertical white arrow into the bilateral upper pulmonary veins horizontal white arrows implying the presence of the levoatriocardinal vein black arrow c transvenous coil occlusion was performed through the left brachial vein using a coaxial delivery system illustrated as a triple concentric circle in the right upper corner d after the transvenous coaxial coil occlusion the followup left subclavian venography showed complete occlusion of the levoatriocardinal vein,66f63c12589221dc7990610c952670339be15a30_1-Figure1-1.png,"['a', 'computed', 'tomography', 'angiography', 'expressed', 'by', 'maximum', 'intensive', 'projection', 'and', 'b', 'left', 'subclavian', 'venography', 'showed', 'a', 'serpentine', 'systemic', 'venous', 'channel', 'draining', 'from', 'the', 'left', 'subclavian', 'vein', 'vertical', 'white', 'arrow', 'into', 'the', 'bilateral', 'upper', 'pulmonary', 'veins', 'horizontal', 'white', 'arrows', 'implying', 'the', 'presence', 'of', 'the', 'levoatriocardinal', 'vein', 'black', 'arrow', 'c', 'transvenous', 'coil', 'occlusion', 'was', 'performed', 'through', 'the', 'left', 'brachial', 'vein', 'using', 'a', 'coaxial', 'delivery', 'system', 'illustrated', 'as', 'a', 'triple', 'concentric', 'circle', 'in', 'the', 'right', 'upper', 'corner', 'd', 'after', 'the', 'transvenous', 'coaxial', 'coil', 'occlusion', 'the', 'followup', 'left', 'subclavian', 'venography', 'showed', 'complete', 'occlusion', 'of', 'the', 'levoatriocardinal', 'vein']"
identification of myh7 mutation and clinical characteristics a pedigree of the reported family the proband iii15 indicated by the arrow carries the c51865188delaga pk1729del mutation subjects iii7 iii9 iii13 and iv15 all tested positive for the mutation filled symbols indicate affected members of the family arrowheads point to those tested for the mutation b t1weighted mri of the upper thighs of index patient iii15 shows atrophy and fatty replacement of quadriceps and rectus femoris with sparing of the abductors hamstring and right vastus intermedius and vastus medialis an arrow points to an area of atrophy and fatty replacement c selected physical findings from subjects with myh7 mutation clockwise from top left iii13 has significant calf hypertrophy iii9 displays anterior compartment atrophy quadriceps atrophy is also observed in iii7 iii9 showing limited wrist extension due to weakness of the extensor compartment of the arm the hanging big toe sign was observed in all patients in this image the foot of iv15 is shown,a52848babb2d53919b9226f5a12eb8b5f7ffe75d_2-Figure1-1.png,"['identification', 'of', 'myh7', 'mutation', 'and', 'clinical', 'characteristics', 'a', 'pedigree', 'of', 'the', 'reported', 'family', 'the', 'proband', 'iii15', 'indicated', 'by', 'the', 'arrow', 'carries', 'the', 'c51865188delaga', 'pk1729del', 'mutation', 'subjects', 'iii7', 'iii9', 'iii13', 'and', 'iv15', 'all', 'tested', 'positive', 'for', 'the', 'mutation', 'filled', 'symbols', 'indicate', 'affected', 'members', 'of', 'the', 'family', 'arrowheads', 'point', 'to', 'those', 'tested', 'for', 'the', 'mutation', 'b', 't1weighted', 'mri', 'of', 'the', 'upper', 'thighs', 'of', 'index', 'patient', 'iii15', 'shows', 'atrophy', 'and', 'fatty', 'replacement', 'of', 'quadriceps', 'and', 'rectus', 'femoris', 'with', 'sparing', 'of', 'the', 'abductors', 'hamstring', 'and', 'right', 'vastus', 'intermedius', 'and', 'vastus', 'medialis', 'an', 'arrow', 'points', 'to', 'an', 'area', 'of', 'atrophy', 'and', 'fatty', 'replacement', 'c', 'selected', 'physical', 'findings', 'from', 'subjects', 'with', 'myh7', 'mutation', 'clockwise', 'from', 'top', 'left', 'iii13', 'has', 'significant', 'calf', 'hypertrophy', 'iii9', 'displays', 'anterior', 'compartment', 'atrophy', 'quadriceps', 'atrophy', 'is', 'also', 'observed', 'in', 'iii7', 'iii9', 'showing', 'limited', 'wrist', 'extension', 'due', 'to', 'weakness', 'of', 'the', 'extensor', 'compartment', 'of', 'the', 'arm', 'the', 'hanging', 'big', 'toe', 'sign', 'was', 'observed', 'in', 'all', 'patients', 'in', 'this', 'image', 'the', 'foot', 'of', 'iv15', 'is', 'shown']"
a 25year old male non b non c cirrhosis a pulsed doppler image short gastric vein arrows had a continuous wave with hepatofugal flow direction b color doppler image the stomach was demonstrated through the spleen arrows short gastric vein arrowheads gastric varices c endoscopic finding the patient had mediumgrade gastric fundal varices,632edf102a79846ffefddc944a1c895af90d6844_3-Figure3-1.png,"['a', '25year', 'old', 'male', 'non', 'b', 'non', 'c', 'cirrhosis', 'a', 'pulsed', 'doppler', 'image', 'short', 'gastric', 'vein', 'arrows', 'had', 'a', 'continuous', 'wave', 'with', 'hepatofugal', 'flow', 'direction', 'b', 'color', 'doppler', 'image', 'the', 'stomach', 'was', 'demonstrated', 'through', 'the', 'spleen', 'arrows', 'short', 'gastric', 'vein', 'arrowheads', 'gastric', 'varices', 'c', 'endoscopic', 'finding', 'the', 'patient', 'had', 'mediumgrade', 'gastric', 'fundal', 'varices']"
systemic lupus erythematosusa pa chest radiograph reveals prominence of the cardiac shadow echocardiography confirmed a moderatesized pericardial effusion also note the large left pleural effusion,3d9336283d6c34a4016d3e28f4505ca1db781373_14-Figure10-1.png,"['systemic', 'lupus', 'erythematosusa', 'pa', 'chest', 'radiograph', 'reveals', 'prominence', 'of', 'the', 'cardiac', 'shadow', 'echocardiography', 'confirmed', 'a', 'moderatesized', 'pericardial', 'effusion', 'also', 'note', 'the', 'large', 'left', 'pleural', 'effusion']"
a wideangle xray scattering data for a xerogel obtained by drying a sample of 5 prepared originally at a concentration of 40 mm in cdcl3 scanning electron micrographs of a xerogel obtained by drying a sample of 5 prepared in cdcl3 at 40 mm magnification increases from b 2500 through c 10000 to d 40000,47e05ded2dc195cec1a33a82e520edd44f5f54ba_3-Figure3-1.png,"['a', 'wideangle', 'xray', 'scattering', 'data', 'for', 'a', 'xerogel', 'obtained', 'by', 'drying', 'a', 'sample', 'of', '5', 'prepared', 'originally', 'at', 'a', 'concentration', 'of', '40', 'mm', 'in', 'cdcl3', 'scanning', 'electron', 'micrographs', 'of', 'a', 'xerogel', 'obtained', 'by', 'drying', 'a', 'sample', 'of', '5', 'prepared', 'in', 'cdcl3', 'at', '40', 'mm', 'magnification', 'increases', 'from', 'b', '2500', 'through', 'c', '10000', 'to', 'd', '40000']"
manual alignment of two sdoct en face images a reference sdoct en face image and b subsequent sdoct en face image c scan registered to the reference,ca9aacf4e239a1f64be76c880c7a384138834db3_2-Figure2-1.png,"['manual', 'alignment', 'of', 'two', 'sdoct', 'en', 'face', 'images', 'a', 'reference', 'sdoct', 'en', 'face', 'image', 'and', 'b', 'subsequent', 'sdoct', 'en', 'face', 'image', 'c', 'scan', 'registered', 'to', 'the', 'reference']"
t2weighted brain mri shows increased signal intensity in both globus pallidus a and left midbrain adjacent substantia nigra b,c9174a4546aa5c6b924bb122ebc9dc02c54c9e82_2-Figure1-1.png,"['t2weighted', 'brain', 'mri', 'shows', 'increased', 'signal', 'intensity', 'in', 'both', 'globus', 'pallidus', 'a', 'and', 'left', 'midbrain', 'adjacent', 'substantia', 'nigra', 'b']"
sonography and magnetic resonance imaging revealed irregular spiculated mass in left breast,25cec1a0230e31a47c9221ebea803642f7c35603_2-Figure1-1.png,"['sonography', 'and', 'magnetic', 'resonance', 'imaging', 'revealed', 'irregular', 'spiculated', 'mass', 'in', 'left', 'breast']"
this 21yearold girl received two renal transplants the first two years and the second 18 months before her death a skeletal survey showed no abnormality but at necropsy there was an extensive area of medullary necrosis in the lower end of the left femur andjuxtaarticular lesions in both femoral heads the area of necrosis was outlined by congested marrow but there was no surrounding bony reaction and no abnormality in the slab radiograph,702e4ef5a0cfb6c0f5b85ac3db8594b807b2bb9f_5-Figure6-1.png,"['this', '21yearold', 'girl', 'received', 'two', 'renal', 'transplants', 'the', 'first', 'two', 'years', 'and', 'the', 'second', '18', 'months', 'before', 'her', 'death', 'a', 'skeletal', 'survey', 'showed', 'no', 'abnormality', 'but', 'at', 'necropsy', 'there', 'was', 'an', 'extensive', 'area', 'of', 'medullary', 'necrosis', 'in', 'the', 'lower', 'end', 'of', 'the', 'left', 'femur', 'andjuxtaarticular', 'lesions', 'in', 'both', 'femoral', 'heads', 'the', 'area', 'of', 'necrosis', 'was', 'outlined', 'by', 'congested', 'marrow', 'but', 'there', 'was', 'no', 'surrounding', 'bony', 'reaction', 'and', 'no', 'abnormality', 'in', 'the', 'slab', 'radiograph']"
multislice computed tomography msct demostrated a mass of 53 mm  35 mm  50 mm located on the upperposterior wall of the urinary bladder white arrow,b468e8bcb1bd75e4a8587dd70d571676e8c3a75c_2-Figure1-1.png,"['multislice', 'computed', 'tomography', 'msct', 'demostrated', 'a', 'mass', 'of', '53', 'mm', '35', 'mm', '50', 'mm', 'located', 'on', 'the', 'upperposterior', 'wall', 'of', 'the', 'urinary', 'bladder', 'white', 'arrow']"
contrast enhanced computed tomography scan showed welldefined lobulated lesion with coarse calcification arising from the skinsubcutaneous tissue with suspicious parotid involvement,6abc623282a425e3bcc3c7dd9f9cbc27e8a4fb89_2-Figure2-1.png,"['contrast', 'enhanced', 'computed', 'tomography', 'scan', 'showed', 'welldefined', 'lobulated', 'lesion', 'with', 'coarse', 'calcification', 'arising', 'from', 'the', 'skinsubcutaneous', 'tissue', 'with', 'suspicious', 'parotid', 'involvement']"
lung ct scan images showing a mass lesion with irregular contours with extensive pleural deployment and bronchial involvement,ec34121b39125302455c8287952e2f91900e7248_2-Figure2-1.png,"['lung', 'ct', 'scan', 'images', 'showing', 'a', 'mass', 'lesion', 'with', 'irregular', 'contours', 'with', 'extensive', 'pleural', 'deployment', 'and', 'bronchial', 'involvement']"
1 preoperative radiograph showing complete collapse of the right upper lobe,8b7e9a5e9755bc7046bb15a44d97d793028ef0d3_5-Figure6-1.png,"['1', 'preoperative', 'radiograph', 'showing', 'complete', 'collapse', 'of', 'the', 'right', 'upper', 'lobe']"
space filling models show infection voids the need for threedimensional 3d imaging is made clear when comparing tumors from multiple animals ad immunohistochemical staining of tumors shows extensive vesicular stomatitis virus vsv infection antivsv green throughout the tumor hoechst blue be singular microspect computed tomography ct planes taken at the same relative position within the same tumors as those stained in ad show similar distribution relative to each other top but different planes through the same tumors at another location show different distributions cf 3d space filling allows differences in distribution to be clearly appreciated where tumor on top has decreased voids compared to tumor on bottom,3c6af2ed730b07a0facfcefa992d9776c5f7e38f_5-Figure4-1.png,"['space', 'filling', 'models', 'show', 'infection', 'voids', 'the', 'need', 'for', 'threedimensional', '3d', 'imaging', 'is', 'made', 'clear', 'when', 'comparing', 'tumors', 'from', 'multiple', 'animals', 'ad', 'immunohistochemical', 'staining', 'of', 'tumors', 'shows', 'extensive', 'vesicular', 'stomatitis', 'virus', 'vsv', 'infection', 'antivsv', 'green', 'throughout', 'the', 'tumor', 'hoechst', 'blue', 'be', 'singular', 'microspect', 'computed', 'tomography', 'ct', 'planes', 'taken', 'at', 'the', 'same', 'relative', 'position', 'within', 'the', 'same', 'tumors', 'as', 'those', 'stained', 'in', 'ad', 'show', 'similar', 'distribution', 'relative', 'to', 'each', 'other', 'top', 'but', 'different', 'planes', 'through', 'the', 'same', 'tumors', 'at', 'another', 'location', 'show', 'different', 'distributions', 'cf', '3d', 'space', 'filling', 'allows', 'differences', 'in', 'distribution', 'to', 'be', 'clearly', 'appreciated', 'where', 'tumor', 'on', 'top', 'has', 'decreased', 'voids', 'compared', 'to', 'tumor', 'on', 'bottom']"
a ct scan of a patient in treatment with sorafenib showed in the left lung multiple ground glass nodules in the posterior segment of superior lobe b ct image in the same patient after 4week withdrawal from chemotherapeutic agent demonstrating the disappearance of the nodules,93236dad25d9af10fdf166b680cbc943de1df936_8-Figure2-1.png,"['a', 'ct', 'scan', 'of', 'a', 'patient', 'in', 'treatment', 'with', 'sorafenib', 'showed', 'in', 'the', 'left', 'lung', 'multiple', 'ground', 'glass', 'nodules', 'in', 'the', 'posterior', 'segment', 'of', 'superior', 'lobe', 'b', 'ct', 'image', 'in', 'the', 'same', 'patient', 'after', '4week', 'withdrawal', 'from', 'chemotherapeutic', 'agent', 'demonstrating', 'the', 'disappearance', 'of', 'the', 'nodules']"
images for patient 1 in two axial planes two coronal planes and two sagittal planes ptv66 green and red ptv54 blue right and left parotids pink spinal cord yellow brain stem cyan and larynx light brown also overlain on the images are isodose lines for the plan with 9 imbs and 3 ils 726 gy red 66 gy magenta 54 gy yellow 45 gy green and 30 gy blue,11a659da21cf6af33c6561a87c500ecefaea40ce_3-Figure1-1.png,"['images', 'for', 'patient', '1', 'in', 'two', 'axial', 'planes', 'two', 'coronal', 'planes', 'and', 'two', 'sagittal', 'planes', 'ptv66', 'green', 'and', 'red', 'ptv54', 'blue', 'right', 'and', 'left', 'parotids', 'pink', 'spinal', 'cord', 'yellow', 'brain', 'stem', 'cyan', 'and', 'larynx', 'light', 'brown', 'also', 'overlain', 'on', 'the', 'images', 'are', 'isodose', 'lines', 'for', 'the', 'plan', 'with', '9', 'imbs', 'and', '3', 'ils', '726', 'gy', 'red', '66', 'gy', 'magenta', '54', 'gy', 'yellow', '45', 'gy', 'green', 'and', '30', 'gy', 'blue']"
ct scan demonstrating distribution of calcium on the aortic valve,5daec55e4abd9cfa377401547c4a9f80a3e5006b_2-Figure1-1.png,"['ct', 'scan', 'demonstrating', 'distribution', 'of', 'calcium', 'on', 'the', 'aortic', 'valve']"
chest xray patient 4 showing cavitation within areas ofpulmonary consoltdatwon arrowed typical ofwg,bfae024a9e6d13771355d373655f701bf0ef10ac_4-Figure6-1.png,"['chest', 'xray', 'patient', '4', 'showing', 'cavitation', 'within', 'areas', 'ofpulmonary', 'consoltdatwon', 'arrowed', 'typical', 'ofwg']"
case 1 17 months old girl presenting with opsoclonusmyoclonus syndrome wholebody i123mibg scintigraphy with 60 mbq i123mibg did not reveal any pathological tracer uptake a wbmri revealed a solid leftsided paravertebral mass extending to the correlated neuroforamina white arrow at the level of thoracic vertebrae t 910 with signal hyperintensity in t2 weighted turboinversion recoverymagnitude tirm sequences b in diffusion weighted imaging correlated restricted diffusion could be detected with low adc c and d and strong enhancement with hyperintensity could be detected in the t1 weighted sequence after the administration of 2 ml gadolinium compound e and f l  liver s  spleen,edeaa173b15ab1531baaa6e60b05393caf05bed9_3-Figure1-1.png,"['case', '1', '17', 'months', 'old', 'girl', 'presenting', 'with', 'opsoclonusmyoclonus', 'syndrome', 'wholebody', 'i123mibg', 'scintigraphy', 'with', '60', 'mbq', 'i123mibg', 'did', 'not', 'reveal', 'any', 'pathological', 'tracer', 'uptake', 'a', 'wbmri', 'revealed', 'a', 'solid', 'leftsided', 'paravertebral', 'mass', 'extending', 'to', 'the', 'correlated', 'neuroforamina', 'white', 'arrow', 'at', 'the', 'level', 'of', 'thoracic', 'vertebrae', 't', '910', 'with', 'signal', 'hyperintensity', 'in', 't2', 'weighted', 'turboinversion', 'recoverymagnitude', 'tirm', 'sequences', 'b', 'in', 'diffusion', 'weighted', 'imaging', 'correlated', 'restricted', 'diffusion', 'could', 'be', 'detected', 'with', 'low', 'adc', 'c', 'and', 'd', 'and', 'strong', 'enhancement', 'with', 'hyperintensity', 'could', 'be', 'detected', 'in', 'the', 't1', 'weighted', 'sequence', 'after', 'the', 'administration', 'of', '2', 'ml', 'gadolinium', 'compound', 'e', 'and', 'f', 'l', 'liver', 's', 'spleen']"
mri of achilles tendon,11e5de08a05492975e55464cfdeda026b74386a7_2-Figure2-1.png,"['mri', 'of', 'achilles', 'tendon']"
mri scan showing abnormal signal return on t2 and 13 while not every control subject performed every task possible lowintensity lesion in t1 in the lateral part of the basal five subjects performed at least two of the theory of mindnuclei of the left amygdala tasks and seven executive functions tasks and eight subjects performed at least three theory of mind tasks and two executive functions tasks on seven of the 16 executivereturn the scan is consistent with a dysembryonablastic functions tasks standardized data were used as theneuroepithelial tumour of long standing or of congenital comparison all control subjects gave informed consentorigin,4fdc262621b3904d790c1d675a0050897d68c47e_4-Figure1-1.png,"['mri', 'scan', 'showing', 'abnormal', 'signal', 'return', 'on', 't2', 'and', '13', 'while', 'not', 'every', 'control', 'subject', 'performed', 'every', 'task', 'possible', 'lowintensity', 'lesion', 'in', 't1', 'in', 'the', 'lateral', 'part', 'of', 'the', 'basal', 'five', 'subjects', 'performed', 'at', 'least', 'two', 'of', 'the', 'theory', 'of', 'mindnuclei', 'of', 'the', 'left', 'amygdala', 'tasks', 'and', 'seven', 'executive', 'functions', 'tasks', 'and', 'eight', 'subjects', 'performed', 'at', 'least', 'three', 'theory', 'of', 'mind', 'tasks', 'and', 'two', 'executive', 'functions', 'tasks', 'on', 'seven', 'of', 'the', '16', 'executivereturn', 'the', 'scan', 'is', 'consistent', 'with', 'a', 'dysembryonablastic', 'functions', 'tasks', 'standardized', 'data', 'were', 'used', 'as', 'theneuroepithelial', 'tumour', 'of', 'long', 'standing', 'or', 'of', 'congenital', 'comparison', 'all', 'control', 'subjects', 'gave', 'informed', 'consentorigin']"
axial ct image showing bilateral pneumatization of the anterior clinoid processes arrow and bilateral optic nerves on inside sphenoid sinus ss,e73e38975461b61ebdc4ef00f9c15bce503304e5_3-Figure3-1.png,"['axial', 'ct', 'image', 'showing', 'bilateral', 'pneumatization', 'of', 'the', 'anterior', 'clinoid', 'processes', 'arrow', 'and', 'bilateral', 'optic', 'nerves', 'on', 'inside', 'sphenoid', 'sinus', 'ss']"
cryofib milling and cryoet of c elegans a scanning em sem image of an adult c elegans worm that has been vitrified by highpressure freezing using 2methylpentane as freezing medium scale bar 10 m b a lamella of the adult worm arrowheads shown in a produced by cryofib milling scale bar 2 m c a slice through a tomogram of a fibmilled c elegans embryo here the plasma membrane green arrow mitochondria yellow arrows m ribosomes blue arrow and the nuclear envelope orange arrow can be seen scale bar 100 nm d an example of a rendering of another tomogram acquired on a c elegans embryo lamella shown here are the plasma membrane dark blue nuclear envelope pink ribosomes gold npcs blue and filamentous structures near the inner nuclear membrane green modified with permission from harapin et al 2015,3c6751405a2986b31c4f8bee8c77f117425b3cbb_5-Figure5-1.png,"['cryofib', 'milling', 'and', 'cryoet', 'of', 'c', 'elegans', 'a', 'scanning', 'em', 'sem', 'image', 'of', 'an', 'adult', 'c', 'elegans', 'worm', 'that', 'has', 'been', 'vitrified', 'by', 'highpressure', 'freezing', 'using', '2methylpentane', 'as', 'freezing', 'medium', 'scale', 'bar', '10', 'm', 'b', 'a', 'lamella', 'of', 'the', 'adult', 'worm', 'arrowheads', 'shown', 'in', 'a', 'produced', 'by', 'cryofib', 'milling', 'scale', 'bar', '2', 'm', 'c', 'a', 'slice', 'through', 'a', 'tomogram', 'of', 'a', 'fibmilled', 'c', 'elegans', 'embryo', 'here', 'the', 'plasma', 'membrane', 'green', 'arrow', 'mitochondria', 'yellow', 'arrows', 'm', 'ribosomes', 'blue', 'arrow', 'and', 'the', 'nuclear', 'envelope', 'orange', 'arrow', 'can', 'be', 'seen', 'scale', 'bar', '100', 'nm', 'd', 'an', 'example', 'of', 'a', 'rendering', 'of', 'another', 'tomogram', 'acquired', 'on', 'a', 'c', 'elegans', 'embryo', 'lamella', 'shown', 'here', 'are', 'the', 'plasma', 'membrane', 'dark', 'blue', 'nuclear', 'envelope', 'pink', 'ribosomes', 'gold', 'npcs', 'blue', 'and', 'filamentous', 'structures', 'near', 'the', 'inner', 'nuclear', 'membrane', 'green', 'modified', 'with', 'permission', 'from', 'harapin', 'et', 'al', '2015']"
a contrastenhanced ct images show the tumor encircles the esophagus arrow b the descending aorta is compressed by the tumor asterisk c tracheal oppression by the tumor is presented on ct scan triangle ctcomputed tomography,005e7a4714020b893a08d62e784de74353a11da7_2-Figure2-1.png,"['a', 'contrastenhanced', 'ct', 'images', 'show', 'the', 'tumor', 'encircles', 'the', 'esophagus', 'arrow', 'b', 'the', 'descending', 'aorta', 'is', 'compressed', 'by', 'the', 'tumor', 'asterisk', 'c', 'tracheal', 'oppression', 'by', 'the', 'tumor', 'is', 'presented', 'on', 'ct', 'scan', 'triangle', 'ctcomputed', 'tomography']"
abdominal ct in aip a parenchymal phase the pancreatic parenchyma shows irregularly reduced enhancement the marginal zone of the pancreas shows capsulelike rim with more reduced enhancement arrows b delayed phase the enhancement in the parenchyma and capsulelike rim become stronger in the delayed phasearrows,20fb1ccf1f2fe71276ce2a579261c90abcfd88b6_7-Figure2-1.png,"['abdominal', 'ct', 'in', 'aip', 'a', 'parenchymal', 'phase', 'the', 'pancreatic', 'parenchyma', 'shows', 'irregularly', 'reduced', 'enhancement', 'the', 'marginal', 'zone', 'of', 'the', 'pancreas', 'shows', 'capsulelike', 'rim', 'with', 'more', 'reduced', 'enhancement', 'arrows', 'b', 'delayed', 'phase', 'the', 'enhancement', 'in', 'the', 'parenchyma', 'and', 'capsulelike', 'rim', 'become', 'stronger', 'in', 'the', 'delayed', 'phasearrows']"
ct thorax shows two superior vena cavae as indicated by red arrows,7f209b36e96e316233b4dc29b0422f53bd81ee44_1-Figure2-1.png,"['ct', 'thorax', 'shows', 'two', 'superior', 'vena', 'cavae', 'as', 'indicated', 'by', 'red', 'arrows']"
a afm image of spin coated submonolayer of cncs on tio2 5  5 m 2 scan reproduced from kontturi et al 2007 with permission from american chemical society b afm image of spin coated layer of cncs with full coverage 5  5 m2 scan reproduced from kontturi et al 2007 with permission from american chemical society c afm image of lbl deposited cnf film 15  15 m2 scan reproduced from wgberg et al 2008 with permission from american chemical society d photograph of lbl deposited cnf films of different thickness values resulting in colored structures through optical interference reproduced from wgberg et al 2008 with permission from american chemical society,2bf76f508ff76d32f8c6bab029e259406f3af08e_8-Figure9-1.png,"['a', 'afm', 'image', 'of', 'spin', 'coated', 'submonolayer', 'of', 'cncs', 'on', 'tio2', '5', '5', 'm', '2', 'scan', 'reproduced', 'from', 'kontturi', 'et', 'al', '2007', 'with', 'permission', 'from', 'american', 'chemical', 'society', 'b', 'afm', 'image', 'of', 'spin', 'coated', 'layer', 'of', 'cncs', 'with', 'full', 'coverage', '5', '5', 'm2', 'scan', 'reproduced', 'from', 'kontturi', 'et', 'al', '2007', 'with', 'permission', 'from', 'american', 'chemical', 'society', 'c', 'afm', 'image', 'of', 'lbl', 'deposited', 'cnf', 'film', '15', '15', 'm2', 'scan', 'reproduced', 'from', 'wgberg', 'et', 'al', '2008', 'with', 'permission', 'from', 'american', 'chemical', 'society', 'd', 'photograph', 'of', 'lbl', 'deposited', 'cnf', 'films', 'of', 'different', 'thickness', 'values', 'resulting', 'in', 'colored', 'structures', 'through', 'optical', 'interference', 'reproduced', 'from', 'wgberg', 'et', 'al', '2008', 'with', 'permission', 'from', 'american', 'chemical', 'society']"
44yearold woman with lowgrade dysplastic nodule that was confirmed after percutaneous biopsy in normal liver patient did not have viral infection a contrastenhanced ct scan obtained during equilibriumphase shows small hypodense nodule arrow with arterial hypovascularity data not shown in left liver two similar hypodense nodules arrowheads are noted in left liver b respiratorytriggered singleshot t2weighted mr image shows hypointense nodule arrow c gadobenate dimeglumineenhanced threehour delayed hepatobiliaryphase mr image shows discrete hypointense nodule arrow this nodule and another two nodules in left liver showed no change in size 16 months after initial ct examination,c203eeab0be753eccc7168935dc093d67b79a8b4_6-Figure9-1.png,"['44yearold', 'woman', 'with', 'lowgrade', 'dysplastic', 'nodule', 'that', 'was', 'confirmed', 'after', 'percutaneous', 'biopsy', 'in', 'normal', 'liver', 'patient', 'did', 'not', 'have', 'viral', 'infection', 'a', 'contrastenhanced', 'ct', 'scan', 'obtained', 'during', 'equilibriumphase', 'shows', 'small', 'hypodense', 'nodule', 'arrow', 'with', 'arterial', 'hypovascularity', 'data', 'not', 'shown', 'in', 'left', 'liver', 'two', 'similar', 'hypodense', 'nodules', 'arrowheads', 'are', 'noted', 'in', 'left', 'liver', 'b', 'respiratorytriggered', 'singleshot', 't2weighted', 'mr', 'image', 'shows', 'hypointense', 'nodule', 'arrow', 'c', 'gadobenate', 'dimeglumineenhanced', 'threehour', 'delayed', 'hepatobiliaryphase', 'mr', 'image', 'shows', 'discrete', 'hypointense', 'nodule', 'arrow', 'this', 'nodule', 'and', 'another', 'two', 'nodules', 'in', 'left', 'liver', 'showed', 'no', 'change', 'in', 'size', '16', 'months', 'after', 'initial', 'ct', 'examination']"
